typeset2020-01-191847.nvt;19;10181;455258;7687;462945;844519;7976;852495;99223
typeset2020-01-191847.nvt;57;19946;436639;26306;462945;825689;26806;852495;99223
typeset2020-01-191847.nvt;344;38460;408855;54090;462945;797120;55375;852495;99223
typeset2020-01-191847.nvt;16;10149;456169;6776;462945;845430;7065;852495;99223
typeset2020-01-191847.nvt;448;76329;391106;71839;462945;778262;74233;852495;99223
typeset2020-01-191847.nvt;54;19825;439096;23849;462945;828141;24354;852495;99223
typeset2020-01-191847.nvt;309;38107;413418;49527;462945;801687;50808;852495;99223
typeset2020-01-191847.nvt;12;10095;459064;3881;462945;848335;4160;852495;99223
typeset2020-01-191847.nvt;33;19600;444574;18371;462945;833667;18828;852495;99223
typeset2020-01-191847.nvt;1333;149716;364059;98886;462945;745462;107033;852495;99223
typeset2020-01-191847.nvt;8;8908;459692;3253;462945;849033;3462;852495;99223
typeset2020-01-191847.nvt;404;75630;396597;66348;462945;783778;68717;852495;99223
typeset2020-01-191847.nvt;182;37400;425689;37256;462945;814010;38485;852495;99223
typeset2020-01-191847.nvt;32;17339;446957;15988;462945;836143;16352;852495;99223
typeset2020-01-191847.nvt;1;7374;462455;490;462945;851899;596;852495;99223
typeset2020-01-191847.nvt;7;14645;456548;6397;462945;845833;6662;852495;99223
typeset2020-01-191847.nvt;165;33497;427542;35403;462945;815987;36508;852495;99223
typeset2020-01-191847.nvt;0;0;462945;0;462945;852495;0;852495;99223
typeset2020-01-191847.nvt;260;74150;413542;49403;462945;800866;51629;852495;99223
typeset2020-01-191847.nvt;0;0;462945;0;462945;852495;0;852495;99223
typeset2020-01-191847.nvt;8;10175;452615;10330;462945;841875;10620;852495;99223
typeset2020-01-191847.nvt;44;29058;442966;19979;462945;831592;20903;852495;99223
typeset2020-01-191847.nvt;1235;149059;370060;92885;462945;751483;101012;852495;99223
typeset2020-01-191847.nvt;6;10143;453203;9742;462945;842463;10032;852495;99223
typeset2020-01-191847.nvt;27;19929;433808;29137;462945;822859;29636;852495;99223
typeset2020-01-191847.nvt;257;67576;415013;47932;462945;802523;49972;852495;99223
typeset2020-01-191847.nvt;0;0;462945;0;462945;852495;0;852495;99223
typeset2020-01-191847.nvt;6;10093;456769;6176;462945;846038;6457;852495;99223
typeset2020-01-191847.nvt;25;19809;436254;26691;462945;825298;27197;852495;99223
typeset2020-01-191847.nvt;4;8906;457413;5532;462945;846752;5743;852495;99223
typeset2020-01-191847.nvt;147;38287;400582;62363;462945;788843;63652;852495;99223
typeset2020-01-191847.nvt;16;19592;442230;20715;462945;831322;21173;852495;99223
typeset2020-01-191847.nvt;104;59378;435147;27798;462945;822879;29616;852495;99223
