benchmark;Promoted;Demoted;Writes DRAM;Writes PCM;Total writes;Reads on DRAM;Reads on PCM;Total reads;Pages on memory;BUFFER SIZE;TIME TO MIGRATE;COUNTERS SIZE;PROMOTE VALUE;DEMOTE VALUE
Basicmath2020-01-191653;1388;29254;7886606;926010;8812616;7880835;933028;8813863;1606;16;8192;16;5.000000;6.000000
Basicmath2020-01-191653;896;29073;7794788;1017828;8812616;7788837;1025026;8813863;1606;16;8192;16;6.000000;6.000000
Basicmath2020-01-191653;542;28907;7720852;1091764;8812616;7714862;1099001;8813863;1606;16;8192;16;7.000000;6.000000
Basicmath2020-01-191653;542;28907;7720852;1091764;8812616;7714862;1099001;8813863;1606;16;8192;16;8.000000;6.000000
Basicmath2020-01-191653;0;28604;7582520;1230096;8812616;7576436;1237427;8813863;1606;16;8192;16;9.000000;6.000000
Basicmath2020-01-191653;173;7716;8384801;427815;8812616;8384064;429799;8813863;1606;16;32768;16;4.000000;6.000000
Basicmath2020-01-191653;132;7678;8329936;482680;8812616;8329195;484668;8813863;1606;16;32768;16;5.000000;6.000000
Basicmath2020-01-191653;97;7646;8284042;528574;8812616;8283302;530561;8813863;1606;16;32768;16;6.000000;6.000000
Basicmath2020-01-191653;71;7624;8240286;572330;8812616;8239546;574317;8813863;1606;16;32768;16;7.000000;6.000000
Basicmath2020-01-191653;71;7624;8240286;572330;8812616;8239546;574317;8813863;1606;16;32768;16;8.000000;6.000000
Basicmath2020-01-191653;0;7559;8142812;669804;8812616;8142076;671787;8813863;1606;16;32768;16;9.000000;6.000000
Basicmath2020-01-191653;12778;119120;7924223;888393;8812616;7897863;916000;8813863;1606;16;2048;32;4.000000;6.000000
Basicmath2020-01-191653;10986;117519;7790446;1022170;8812616;7763822;1050041;8813863;1606;16;2048;32;5.000000;6.000000
Basicmath2020-01-191653;8298;115216;7572626;1239990;8812616;7545454;1268409;8813863;1606;16;2048;32;6.000000;6.000000
Basicmath2020-01-191653;5851;113107;7378724;1433892;8812616;7351588;1462275;8813863;1606;16;2048;32;7.000000;6.000000
Basicmath2020-01-191653;4771;112147;7304941;1507675;8812616;7278089;1535774;8813863;1606;16;2048;32;8.000000;6.000000
Basicmath2020-01-191653;0;108008;6990539;1822077;8812616;6964416;1849447;8813863;1606;16;2048;32;9.000000;6.000000
Basicmath2020-01-191653;2388;29433;8045073;767543;8812616;8039547;774316;8813863;1606;16;8192;32;4.000000;6.000000
Basicmath2020-01-191653;1339;29205;7853928;958688;8812616;7848103;965760;8813863;1606;16;8192;32;5.000000;6.000000
Basicmath2020-01-191653;853;29009;7759607;1053009;8812616;7753678;1060185;8813863;1606;16;8192;32;6.000000;6.000000
Basicmath2020-01-191653;586;28879;7699087;1113529;8812616;7693104;1120759;8813863;1606;16;8192;32;7.000000;6.000000
Basicmath2020-01-191653;478;28818;7673343;1139273;8812616;7667343;1146520;8813863;1606;16;8192;32;8.000000;6.000000
