56;1;0;0
11645;1;63;1
9403;1;2306;1
30130;1;21938;1
38258;1;30130;1
39181;1;77;1
14648;2;9764;1
39159;1;39230;1
38900;1;11764;1
38704;1;39215;1
38406;1;11788;1
38306;1;38818;1
38190;1;38702;1
38061;1;39085;1
37933;1;38957;1
37806;1;38318;1
37674;1;38698;1
37545;1;38569;1
37417;1;38441;1
37290;1;37802;1
37158;1;38182;1
37029;1;38053;1
36901;1;37925;1
36773;1;37285;1
36642;1;37666;1
36513;1;37537;1
36385;1;37409;1
36257;1;36769;1
36126;1;37150;1
35997;1;37021;1
35869;1;36893;1
35741;1;36253;1
35610;1;36634;1
35481;1;36505;1
35353;1;36377;1
35225;1;35737;1
35094;1;36118;1
34965;1;35989;1
34837;1;35861;1
34709;1;35221;1
34578;1;35602;1
34449;1;35473;1
34321;1;35345;1
34193;1;34705;1
34064;1;35088;1
33933;1;34957;1
33805;1;34829;1
33677;1;34189;1
33546;1;34058;1
33419;1;34443;1
33289;1;34313;1
33161;1;33673;1
33032;1;34056;1
32901;1;33925;1
32773;1;33797;1
32645;1;33157;1
11710;1;32702;1
32385;1;33409;1
32257;1;33281;1
32129;1;32641;1
32126;1;33150;1
31997;1;33021;1
31869;1;32893;1
31741;1;32765;1
14648;2;32636;1
31479;1;32503;1
31349;1;32373;1
31221;1;32245;1
31092;1;32116;1
30963;1;31987;1
30833;1;31857;1
30705;1;31217;1
30576;1;31088;1
30446;1;31470;1
30317;1;31341;1
30189;1;30701;1
30060;1;30572;1
29929;1;30953;1
29801;1;30825;1
29673;1;30185;1
29546;1;30570;1
29413;1;30437;1
29285;1;30309;1
29157;1;29669;1
14758;1;29094;1
28899;1;29923;1
28769;1;29281;1
28641;1;29153;1
28512;1;29536;1
28383;1;29407;1
28253;1;29277;1
28125;1;28637;1
27996;1;29020;1
27866;1;28890;1
27737;1;28761;1
27609;1;28121;1
27482;1;28506;1
27349;1;28373;1
27221;1;28245;1
27093;1;27605;1
26966;1;27990;1
26835;1;27859;1
26705;1;27729;1
26577;1;27089;1
26449;1;27473;1
26319;1;27343;1
26189;1;27213;1
26061;1;26573;1
25932;1;26956;1
25803;1;26827;1
25673;1;26697;1
25545;1;26057;1
25419;1;26443;1
25285;1;26309;1
25157;1;26181;1
25029;1;25541;1
24902;1;25926;1
24771;1;25795;1
24641;1;25665;1
